סמל יישוב,יישוב מחושב,תאור קבוצה סטטיסטית,שנת הודעה,Total,2019,2018,2017,2016,2015,2014
1327.0,מעלה עירון,עבירות מין,,10,2,-,2,1,1,4
1327.0,מעלה עירון,עבירות מרמה,,26,9,5,3,-,5,4
1327.0,מעלה עירון,עבירות נגד אדם,,4,2,1,-,-,1,-
1327.0,מעלה עירון,עבירות נגד גוף,,262,59,31,34,39,47,52
1327.0,מעלה עירון,עבירות סדר ציבורי,,541,118,71,75,92,99,86
1327.0,מעלה עירון,עבירות רשוי,,5,1,-,-,3,-,1
1327.0,מעלה עירון,עבירות תנועה,,7,3,-,-,2,1,1
1063.0,מעלות תרשיחא,Total,,3833,598,627,576,658,674,700
1063.0,מעלות תרשיחא,-,,6,3,-,1,2,-,-
1063.0,מעלות תרשיחא,לא ידוע,,1,-,-,-,-,-,1
1063.0,מעלות תרשיחא,סעיפי הגדרה,,8,-,1,2,-,5,-
1063.0,מעלות תרשיחא,עבירות בטחון,,41,9,4,10,4,8,6
1063.0,מעלות תרשיחא,עבירות כלכליות,,4,-,2,1,-,1,-
1063.0,מעלות תרשיחא,עבירות כלפי המוסר,,782,143,149,144,120,126,100
1063.0,מעלות תרשיחא,עבירות כלפי הרכוש,,1154,173,171,138,196,217,259
1063.0,מעלות תרשיחא,עבירות מין,,93,7,16,15,24,18,13
1063.0,מעלות תרשיחא,עבירות מרמה,,160,19,20,25,27,49,20
1063.0,מעלות תרשיחא,עבירות נגד אדם,,10,3,1,1,2,3,-
1063.0,מעלות תרשיחא,עבירות נגד גוף,,753,109,128,113,137,118,148
1063.0,מעלות תרשיחא,עבירות סדר ציבורי,,1414,210,244,200,249,250,261
1063.0,מעלות תרשיחא,עבירות רשוי,,20,5,-,2,7,5,1
1063.0,מעלות תרשיחא,עבירות תנועה,,38,4,7,11,6,7,3
1063.0,מעלות תרשיחא,שאר עבירות,,2,-,-,1,1,-,-
99.0,מצפה רמון,Total,,1550,205,258,343,246,239,259
99.0,מצפה רמון,סעיפי הגדרה,,1,-,1,-,-,-,-
99.0,מצפה רמון,עבירות בטחון,,37,4,3,10,8,7,5
99.0,מצפה רמון,עבירות כלכליות,,2,-,-,1,1,-,-
99.0,מצפה רמון,עבירות כלפי המוסר,,199,33,55,62,19,11,19
99.0,מצפה רמון,עבירות כלפי הרכוש,,654,83,96,124,117,123,111
99.0,מצפה רמון,עבירות מין,,52,4,15,11,3,8,11
99.0,מצפה רמון,עבירות מנהליות,,52,8,9,15,9,8,3
99.0,מצפה רמון,עבירות מרמה,,41,9,6,7,9,2,8
99.0,מצפה רמון,עבירות נגד אדם,,4,-,1,1,1,-,1
99.0,מצפה רמון,עבירות נגד גוף,,210,37,35,37,39,31,31
99.0,מצפה רמון,עבירות סדר ציבורי,,569,59,85,130,86,90,119
99.0,מצפה רמון,עבירות רשוי,,18,1,2,5,-,2,8
99.0,מצפה רמון,עבירות תנועה,,4,-,-,1,3,-,-
99.0,מצפה רמון,שאר עבירות,,1,1,-,-,-,-,-
520.0,משהד,Total,,748,148,139,120,125,112,104
520.0,משהד,-,,1,1,-,-,-,-,-
520.0,משהד,עבירות בטחון,,38,2,9,9,5,4,9
520.0,משהד,עבירות כלכליות,,5,3,1,-,-,-,1
520.0,משהד,עבירות כלפי המוסר,,51,2,12,13,8,7,9
520.0,משהד,עבירות כלפי הרכוש,,212,47,30,31,35,34,35
520.0,משהד,עבירות מין,,8,3,2,1,2,-,-
520.0,משהד,עבירות מרמה,,23,5,8,3,3,1,3
520.0,משהד,עבירות נגד אדם,,1,-,-,1,-,-,-
520.0,משהד,עבירות נגד גוף,,205,49,28,34,35,35,24
520.0,משהד,עבירות סדר ציבורי,,365,63,78,58,65,57,44
520.0,משהד,עבירות רשוי,,2,1,-,-,1,-,-
520.0,משהד,עבירות תנועה,,4,-,-,2,-,2,-
9100.0,נהריה,Total,,13438,2008,2115,2544,2342,2262,2167
9100.0,נהריה,-,,36,8,10,8,6,4,-
9100.0,נהריה,סעיפי הגדרה,,4,-,3,-,-,1,-
9100.0,נהריה,עבירות בטחון,,92,9,12,21,19,15,16
9100.0,נהריה,עבירות כלכליות,,53,3,5,31,1,9,4
9100.0,נהריה,עבירות כלפי המוסר,,1943,185,321,354,447,346,290
9100.0,נהריה,עבירות כלפי הרכוש,,5462,842,846,1018,937,917,902
9100.0,נהריה,עבירות מין,,221,41,32,34,42,36,36
9100.0,נהריה,עבירות מנהליות,,1,-,-,-,-,1,-
9100.0,נהריה,עבירות מרמה,,734,100,87,166,110,165,106
9100.0,נהריה,עבירות נגד אדם,,18,1,3,2,3,6,3
9100.0,נהריה,עבירות נגד גוף,,2469,420,409,455,394,374,417
9100.0,נהריה,עבירות סדר ציבורי,,4504,712,732,908,727,707,718
9100.0,נהריה,עבירות רשוי,,102,4,5,29,22,9,33
9100.0,נהריה,עבירות תנועה,,41,4,8,3,8,10,8
9100.0,נהריה,שאר עבירות,,7,1,-,2,1,2,1
1061.0,נוף הגליל,Total,,14343,2243,2270,2457,2381,2619,2373
1061.0,נוף הגליל,-,,11,-,1,-,5,4,1
1061.0,נוף הגליל,לא ידוע,,1,-,-,-,1,-,-
1061.0,נוף הגליל,סעיפי הגדרה,,33,-,1,-,-,22,10
1061.0,נוף הגליל,עבירות בטחון,,174,26,21,33,24,19,51
1061.0,נוף הגליל,עבירות כלכליות,,34,10,4,8,2,3,7
1061.0,נוף הגליל,עבירות כלפי המוסר,,3071,431,555,586,527,537,435
1061.0,נוף הגליל,עבירות כלפי הרכוש,,4586,703,718,783,746,886,750
1061.0,נוף הגליל,עבירות מין,,298,42,39,46,57,70,44
1061.0,נוף הגליל,עבירות מנהליות,,1,-,-,-,-,-,1
1061.0,נוף הגליל,עבירות מרמה,,584,64,77,81,110,153,99
1061.0,נוף הגליל,עבירות נגד אדם,,30,4,4,4,12,5,1
1061.0,נוף הגליל,עבירות נגד גוף,,3045,553,510,489,451,500,542
1061.0,נוף הגליל,עבירות סדר ציבורי,,5321,934,775,882,879,972,879
1061.0,נוף הגליל,עבירות רשוי,,14,3,3,4,2,1,1
1061.0,נוף הגליל,עבירות תנועה,,72,12,12,9,14,13,12
1061.0,נוף הגליל,שאר עבירות,,4,-,-,2,-,1,1
522.0,נחף,Total,,1822,309,391,350,299,242,231
522.0,נחף,עבירות בטחון,,113,32,29,13,12,15,12
522.0,נחף,עבירות כלכליות,,4,2,2,-,-,-,-
522.0,נחף,עבירות כלפי המוסר,,337,34,65,83,76,44,35
522.0,נחף,עבירות כלפי הרכוש,,436,86,95,71,85,47,52
522.0,נחף,עבירות מין,,12,2,3,2,2,2,1
522.0,נחף,עבירות מרמה,,48,6,17,7,7,7,4
522.0,נחף,עבירות נגד אדם,,2,-,1,-,1,-,-
522.0,נחף,עבירות נגד גוף,,432,83,81,86,58,62,62
522.0,נחף,עבירות סדר ציבורי,,813,169,163,148,122,107,104
522.0,נחף,עבירות רשוי,,19,-,7,-,2,3,7
522.0,נחף,עבירות תנועה,,7,-,1,-,4,1,1
7200.0,נס ציונה,Total,,5894,921,1001,1101,885,950,1036
7200.0,נס ציונה,-,,11,1,1,2,-,2,5
7200.0,נס ציונה,סעיפי הגדרה,,22,3,3,6,6,2,2
7200.0,נס ציונה,עבירות בטחון,,11,3,2,2,2,-,2
7200.0,נס ציונה,עבירות כלכליות,,7,3,-,1,2,-,1
7200.0,נס ציונה,עבירות כלפי המוסר,,506,97,72,198,31,52,56
7200.0,נס ציונה,עבירות כלפי הרכוש,,2850,401,485,478,456,498,532
7200.0,נס ציונה,עבירות מין,,142,31,24,21,25,22,19
7200.0,נס ציונה,עבירות מנהליות,,1,-,-,1,-,-,-
7200.0,נס ציונה,עבירות מרמה,,335,84,61,66,49,43,32
7200.0,נס ציונה,עבירות נגד אדם,,6,-,1,-,-,2,3
7200.0,נס ציונה,עבירות נגד גוף,,1026,186,204,172,161,157,146
7200.0,נס ציונה,עבירות סדר ציבורי,,2031,293,356,340,305,344,393
7200.0,נס ציונה,עבירות רשוי,,11,3,3,2,-,-,3
7200.0,נס ציונה,עבירות תנועה,,19,1,4,6,2,4,2
7200.0,נס ציונה,שאר עבירות,,1,-,-,-,-,1,-
7300.0,נצרת,Total,,17340,2962,2896,2864,2890,2764,2964
7300.0,נצרת,-,,12,3,2,1,2,2,2
7300.0,נצרת,לא ידוע,,2,-,-,1,-,1,-
7300.0,נצרת,סעיפי הגדרה,,10,-,-,1,3,4,2
7300.0,נצרת,עבירות בטחון,,829,137,142,156,119,141,134
7300.0,נצרת,עבירות כלכליות,,70,11,4,5,10,32,8
7300.0,נצרת,עבירות כלפי המוסר,,3181,461,630,583,536,382,589
7300.0,נצרת,עבירות כלפי הרכוש,,4488,797,669,727,715,743,837
7300.0,נצרת,עבירות מין,,176,22,23,29,38,30,34
7300.0,נצרת,עבירות מנהליות,,4,-,-,3,1,-,-
7300.0,נצרת,עבירות מרמה,,978,94,121,136,197,274,156
7300.0,נצרת,עבירות נגד אדם,,60,13,9,10,13,5,10
7300.0,נצרת,עבירות נגד גוף,,3150,523,494,445,530,561,597
7300.0,נצרת,עבירות סדר ציבורי,,7873,1507,1361,1230,1305,1207,1263
7300.0,נצרת,עבירות רשוי,,66,6,11,17,7,9,16
7300.0,נצרת,עבירות תנועה,,102,15,19,15,16,20,17
7300.0,נצרת,שאר עבירות,,7,1,4,-,-,1,1
2500.0,נשר,Total,,4445,622,661,750,744,880,788
2500.0,נשר,-,,3,-,1,-,1,1,-
2500.0,נשר,סעיפי הגדרה,,3,1,-,1,1,-,-
2500.0,נשר,עבירות בטחון,,25,3,2,6,5,4,5
2500.0,נשר,עבירות כלכליות,,8,2,1,1,2,1,1
2500.0,נשר,עבירות כלפי המוסר,,384,60,53,88,55,70,58
2500.0,נשר,עבירות כלפי הרכוש,,2103,292,305,313,347,460,386
2500.0,נשר,עבירות מין,,67,9,5,10,20,9,14
2500.0,נשר,עבירות מנהליות,,1,-,-,-,1,-,-
2500.0,נשר,עבירות מרמה,,271,42,44,32,42,50,61
2500.0,נשר,עבירות נגד אדם,,8,3,-,1,2,2,-
2500.0,נשר,עבירות נגד גוף,,775,125,131,132,140,131,116
2500.0,נשר,עבירות סדר ציבורי,,1538,202,216,302,278,278,262
2500.0,נשר,עבירות רשוי,,6,1,-,-,1,1,3
2500.0,נשר,עבירות תנועה,,16,5,1,2,1,2,5
2500.0,נשר,שאר עבירות,,3,-,-,1,1,1,-
246.0,נתיבות,Total,,7092,1165,1148,1311,1072,1155,1241
246.0,נתיבות,-,,8,-,5,-,1,-,2
246.0,נתיבות,סעיפי הגדרה,,10,-,2,1,2,3,2
246.0,נתיבות,עבירות בטחון,,43,4,7,6,11,7,8
246.0,נתיבות,עבירות כלכליות,,16,8,-,2,3,1,2
246.0,נתיבות,עבירות כלפי המוסר,,850,144,176,179,93,126,132
246.0,נתיבות,עבירות כלפי הרכוש,,2458,397,398,434,388,420,421
246.0,נתיבות,עבירות מין,,180,35,25,39,27,26,28
246.0,נתיבות,עבירות מנהליות,,2,-,-,1,-,1,-
246.0,נתיבות,עבירות מרמה,,372,104,56,51,47,70,44
246.0,נתיבות,עבירות נגד אדם,,12,2,1,2,-,5,2
246.0,נתיבות,עבירות נגד גוף,,1561,252,235,287,263,225,299
246.0,נתיבות,עבירות סדר ציבורי,,3078,499,447,548,455,533,596
246.0,נתיבות,עבירות רשוי,,68,16,2,13,10,3,24
246.0,נתיבות,עבירות תנועה,,33,6,5,5,3,10,4
246.0,נתיבות,שאר עבירות,,5,1,1,1,-,1,1
7400.0,נתניה,Total,,51776,7224,8181,8977,8856,8803,9735
7400.0,נתניה,-,,135,27,30,20,15,20,23
7400.0,נתניה,סעיפי הגדרה,,70,3,3,7,20,24,13
7400.0,נתניה,עבירות בטחון,,186,35,27,26,40,30,28
7400.0,נתניה,עבירות כלכליות,,106,14,12,16,15,22,27
7400.0,נתניה,עבירות כלפי המוסר,,4094,657,966,886,651,455,479
7400.0,נתניה,עבירות כלפי הרכוש,,25546,3379,3740,4485,4349,4739,4854
7400.0,נתניה,עבירות מין,,716,108,122,140,129,98,119
7400.0,נתניה,עבירות מנהליות,,7,1,4,1,1,-,-
7400.0,נתניה,עבירות מרמה,,2834,380,325,413,680,424,612
7400.0,נתניה,עבירות נגד אדם,,60,6,16,7,9,11,11
7400.0,נתניה,עבירות נגד גוף,,9595,1366,1647,1738,1662,1495,1687
7400.0,נתניה,עבירות סדר ציבורי,,16783,2354,2673,2681,2725,2878,3472
7400.0,נתניה,עבירות רשוי,,130,18,44,14,17,7,30
7400.0,נתניה,עבירות תנועה,,163,26,16,28,45,28,20
7400.0,נתניה,שאר עבירות,,16,-,3,2,4,2,5
525.0,סאג'ור,Total,,634,140,163,80,99,64,88
525.0,סאג'ור,-,,1,-,-,-,1,-,-
525.0,סאג'ור,עבירות בטחון,,82,20,28,9,9,3,13
525.0,סאג'ור,עבירות כלכליות,,7,2,5,-,-,-,-
525.0,סאג'ור,עבירות כלפי המוסר,,65,18,18,10,7,5,7
525.0,סאג'ור,עבירות כלפי הרכוש,,235,35,44,35,47,32,42
525.0,סאג'ור,עבירות מין,,4,1,-,1,-,1,1
525.0,סאג'ור,עבירות מרמה,,22,2,4,5,6,4,1
525.0,סאג'ור,עבירות נגד אדם,,5,1,1,-,-,2,1
525.0,סאג'ור,עבירות נגד גוף,,120,41,36,8,19,7,9
525.0,סאג'ור,עבירות סדר ציבורי,,244,55,71,30,32,23,33
525.0,סאג'ור,עבירות רשוי,,5,-,4,-,1,-,-
525.0,סאג'ור,עבירות תנועה,,3,1,1,-,1,-,-
578.0,סביון,Total,,734,93,93,139,135,134,140
578.0,סביון,סעיפי הגדרה,,1,-,-,-,1,-,-
578.0,סביון,עבירות בטחון,,5,1,1,-,1,-,2
578.0,סביון,עבירות כלכליות,,1,-,-,-,1,-,-
578.0,סביון,עבירות כלפי המוסר,,37,12,2,9,8,5,1
578.0,סביון,עבירות כלפי הרכוש,,445,42,50,83,91,88,91
578.0,סביון,עבירות מין,,15,1,2,6,1,-,5
578.0,סביון,עבירות מרמה,,29,5,1,3,7,11,2
578.0,סביון,עבירות נגד אדם,,2,1,-,-,1,-,-
578.0,סביון,עבירות נגד גוף,,68,11,16,13,7,7,14
578.0,סביון,עבירות סדר ציבורי,,210,30,33,36,34,42,35
578.0,סביון,עבירות רשוי,,5,1,-,1,-,2,1
578.0,סביון,עבירות תנועה,,3,-,1,1,-,1,-
7500.0,סח'נין,Total,,4720,713,772,850,844,765,776
7500.0,סח'נין,עבירות בטחון,,144,37,28,15,20,21,23
7500.0,סח'נין,עבירות כלכליות,,11,2,2,-,3,-,4
7500.0,סח'נין,עבירות כלפי המוסר,,500,55,86,102,85,101,71
7500.0,סח'נין,עבירות כלפי הרכוש,,1272,241,210,210,210,208,193
7500.0,סח'נין,עבירות מין,,38,3,4,4,14,3,10
7500.0,סח'נין,עבירות מנהליות,,2,-,2,-,-,-,-
7500.0,סח'נין,עבירות מרמה,,295,31,19,60,98,42,45
7500.0,סח'נין,עבירות נגד אדם,,10,-,-,2,3,2,3
7500.0,סח'נין,עבירות נגד גוף,,1177,201,210,196,214,178,178
7500.0,סח'נין,עבירות סדר ציבורי,,2315,366,432,375,384,364,394
7500.0,סח'נין,עבירות רשוי,,32,1,8,6,7,2,8
7500.0,סח'נין,עבירות תנועה,,32,5,8,5,2,9,3
7500.0,סח'נין,שאר עבירות,,3,-,-,1,1,-,1
4501.0,ע'ג'ר,Total,,118,29,34,14,16,15,10
4501.0,ע'ג'ר,עבירות בטחון,,5,-,2,-,1,2,-
4501.0,ע'ג'ר,עבירות כלפי המוסר,,39,15,14,7,2,-,1
4501.0,ע'ג'ר,עבירות כלפי הרכוש,,28,4,8,1,5,6,4
4501.0,ע'ג'ר,עבירות מרמה,,9,-,1,3,3,1,1
4501.0,ע'ג'ר,עבירות נגד אדם,,1,1,-,-,-,-,-
4501.0,ע'ג'ר,עבירות נגד גוף,,14,3,6,-,2,2,1
4501.0,ע'ג'ר,עבירות סדר ציבורי,,47,13,10,8,5,6,5
4501.0,ע'ג'ר,עבירות רשוי,,1,-,-,-,-,-,1
4501.0,ע'ג'ר,עבירות תנועה,,2,-,-,-,1,1,-
666.0,עומר,Total,,1595,261,303,265,278,227,261
666.0,עומר,-,,4,1,-,2,-,-,1
666.0,עומר,סעיפי הגדרה,,3,1,-,1,-,-,1
666.0,עומר,עבירות בטחון,,28,5,4,10,1,2,6
666.0,עומר,עבירות כלכליות,,1,1,-,-,-,-,-
666.0,עומר,עבירות כלפי המוסר,,66,13,9,23,7,3,11
666.0,עומר,עבירות כלפי הרכוש,,1011,165,188,156,192,156,154
666.0,עומר,עבירות מין,,14,1,2,3,4,1,3
666.0,עומר,עבירות מנהליות,,1,-,-,-,-,1,-
666.0,עומר,עבירות מרמה,,68,17,10,9,16,4,12
666.0,עומר,עבירות נגד אדם,,6,-,1,2,1,1,1
666.0,עומר,עבירות נגד גוף,,170,30,39,31,28,13,29
666.0,עומר,עבירות סדר ציבורי,,475,78,99,68,64,73,93
666.0,עומר,עבירות רשוי,,8,1,2,4,-,1,-
666.0,עומר,עבירות תנועה,,11,1,-,6,2,1,1
666.0,עומר,שאר עבירות,,2,-,1,-,-,-,1
530.0,עיילבון,Total,,816,153,130,115,143,132,143
530.0,עיילבון,עבירות בטחון,,22,4,4,2,2,4,6
530.0,עיילבון,עבירות כלפי המוסר,,53,8,8,4,27,1,5
530.0,עיילבון,עבירות כלפי הרכוש,,246,43,46,32,38,32,55
530.0,עיילבון,עבירות מין,,11,3,2,-,2,3,1
530.0,עיילבון,עבירות מרמה,,40,8,3,7,5,2,15
530.0,עיילבון,עבירות נגד אדם,,1,-,-,-,-,-,1
530.0,עיילבון,עבירות נגד גוף,,189,42,19,16,29,40,43
530.0,עיילבון,עבירות סדר ציבורי,,469,92,79,72,68,87,71
530.0,עיילבון,עבירות רשוי,,4,1,-,1,-,-,2
530.0,עיילבון,עבירות תנועה,,6,-,1,-,4,1,-
511.0,עילוט,Total,,1031,243,171,168,151,137,161
511.0,עילוט,סעיפי הגדרה,,1,-,-,-,-,-,1
511.0,עילוט,עבירות בטחון,,86,26,16,11,6,10,17
511.0,עילוט,עבירות כלכליות,,2,1,-,-,-,1,-
511.0,עילוט,עבירות כלפי המוסר,,113,36,11,18,21,17,10
511.0,עילוט,עבירות כלפי הרכוש,,258,55,41,49,42,31,40
511.0,עילוט,עבירות מין,,12,4,3,2,1,1,1
511.0,עילוט,עבירות מרמה,,30,6,7,4,5,6,2
511.0,עילוט,עבירות נגד אדם,,1,1,-,-,-,-,-
511.0,עילוט,עבירות נגד גוף,,244,41,44,36,40,40,43
511.0,עילוט,עבירות סדר ציבורי,,504,130,81,77,68,59,89
511.0,עילוט,עבירות רשוי,,4,-,1,1,1,1,-
511.0,עילוט,עבירות תנועה,,7,1,3,1,1,-,1
532.0,עין מאהל,Total,,1121,218,206,166,187,159,185
532.0,עין מאהל,סעיפי הגדרה,,3,-,-,-,-,-,3
532.0,עין מאהל,עבירות בטחון,,34,6,7,7,5,2,7
532.0,עין מאהל,עבירות כלכליות,,12,3,5,2,1,1,-
532.0,עין מאהל,עבירות כלפי המוסר,,163,29,28,24,34,27,21
532.0,עין מאהל,עבירות כלפי הרכוש,,266,49,63,44,29,24,57
532.0,עין מאהל,עבירות מין,,16,4,2,4,2,2,2
532.0,עין מאהל,עבירות מרמה,,55,7,14,7,4,16,7
532.0,עין מאהל,עבירות נגד אדם,,4,-,-,1,1,2,-
532.0,עין מאהל,עבירות נגד גוף,,303,65,63,52,42,35,46
532.0,עין מאהל,עבירות סדר ציבורי,,532,116,85,63,102,76,90
532.0,עין מאהל,עבירות רשוי,,9,3,1,4,-,-,1
532.0,עין מאהל,עבירות תנועה,,8,2,1,3,2,-,-
532.0,עין מאהל,שאר עבירות,,1,-,-,1,-,-,-
4502.0,עין קנייא,Total,,106,8,19,31,17,8,23
4502.0,עין קנייא,עבירות בטחון,,8,-,3,-,1,-,4
4502.0,עין קנייא,עבירות כלפי המוסר,,10,1,-,5,3,1,-
4502.0,עין קנייא,עבירות כלפי הרכוש,,19,3,3,6,1,3,3
4502.0,עין קנייא,עבירות מין,,1,1,-,-,-,-,-
4502.0,עין קנייא,עבירות מרמה,,1,-,1,-,-,-,-
4502.0,עין קנייא,עבירות נגד גוף,,36,1,8,10,5,3,9
4502.0,עין קנייא,עבירות סדר ציבורי,,57,3,8,18,12,5,11
4502.0,עין קנייא,עבירות רשוי,,3,1,-,-,-,-,2
4502.0,עין קנייא,עבירות תנועה,,2,-,2,-,-,-,-
7600.0,עכו,Total,,17150,2514,2783,3160,2926,2784,2983
7600.0,עכו,-,,22,4,2,5,2,4,5
7600.0,עכו,סעיפי הגדרה,,9,1,1,-,-,6,1
7600.0,עכו,עבירות בטחון,,180,26,21,29,34,36,34
7600.0,עכו,עבירות כלכליות,,27,3,3,3,5,9,4
7600.0,עכו,עבירות כלפי המוסר,,3180,400,662,639,498,455,526
7600.0,עכו,עבירות כלפי הרכוש,,6582,966,1023,1182,1191,1125,1095
7600.0,עכו,עבירות מין,,221,31,52,39,37,32,30
7600.0,עכו,עבירות מנהליות,,5,1,-,-,1,3,-
7600.0,עכו,עבירות מרמה,,708,88,76,93,116,184,151
7600.0,עכו,עבירות נגד אדם,,32,4,5,8,3,5,7
7600.0,עכו,עבירות נגד גוף,,2978,501,481,520,535,420,521
7600.0,עכו,עבירות סדר ציבורי,,5747,934,905,1077,939,883,1009
7600.0,עכו,עבירות רשוי,,23,3,2,-,5,6,7
7600.0,עכו,עבירות תנועה,,35,3,6,5,5,8,8
3660.0,עמנואל,Total,,678,95,126,129,132,96,100
3660.0,עמנואל,-,,1,-,1,-,-,-,-
3660.0,עמנואל,סעיפי הגדרה,,1,-,-,-,1,-,-
3660.0,עמנואל,עבירות בטחון,,31,1,7,1,3,9,10
3660.0,עמנואל,עבירות כלכליות,,1,-,-,-,1,-,-
3660.0,עמנואל,עבירות כלפי המוסר,,83,9,12,13,26,7,16
3660.0,עמנואל,עבירות כלפי הרכוש,,272,34,59,57,55,38,29
3660.0,עמנואל,עבירות מין,,27,6,7,4,4,4,2
3660.0,עמנואל,עבירות מרמה,,9,4,2,2,1,-,-
3660.0,עמנואל,עבירות נגד אדם,,2,-,1,-,-,1,-
3660.0,עמנואל,עבירות נגד גוף,,150,27,24,34,21,19,25
3660.0,עמנואל,עבירות סדר ציבורי,,250,43,44,48,41,35,39
3660.0,עמנואל,עבירות רשוי,,2,1,-,-,-,-,1
3660.0,עמנואל,עבירות תנועה,,4,-,1,-,3,-,-
534.0,עספיא,Total,,2366,279,330,433,491,411,422
534.0,עספיא,-,,4,3,-,-,-,1,-
534.0,עספיא,עבירות בטחון,,34,7,4,3,4,12,4
534.0,עספיא,עבירות כלכליות,,8,2,1,-,3,-,2
534.0,עספיא,עבירות כלפי המוסר,,317,17,45,84,83,61,27
534.0,עספיא,עבירות כלפי הרכוש,,690,90,101,111,134,113,141
534.0,עספיא,עבירות מין,,26,4,3,2,4,7,6
534.0,עספיא,עבירות מרמה,,104,14,12,18,12,28,20
534.0,עספיא,עבירות נגד אדם,,4,-,-,1,1,1,1
534.0,עספיא,עבירות נגד גוף,,426,68,59,68,85,59,87
534.0,עספיא,עבירות סדר ציבורי,,1151,135,169,212,243,186,206
534.0,עספיא,עבירות רשוי,,17,2,-,2,6,4,3
534.0,עספיא,עבירות תנועה,,10,1,-,3,2,1,3
534.0,עספיא,שאר עבירות,,2,1,-,-,-,1,-
7700.0,עפולה,Total,,15680,2439,2489,2780,2481,2499,2992
7700.0,עפולה,-,,25,5,1,6,10,3,-
7700.0,עפולה,סעיפי הגדרה,,22,-,3,1,2,10,6
7700.0,עפולה,עבירות בטחון,,252,28,26,56,35,44,63
7700.0,עפולה,עבירות כלכליות,,36,7,9,5,4,5,6
7700.0,עפולה,עבירות כלפי המוסר,,1704,246,280,290,252,328,308
7700.0,עפולה,עבירות כלפי הרכוש,,6588,985,959,1326,1082,1041,1195
7700.0,עפולה,עבירות מין,,297,50,63,56,41,35,52
7700.0,עפולה,עבירות מנהליות,,3,1,-,1,-,-,1
7700.0,עפולה,עבירות מרמה,,697,81,111,109,105,134,157
7700.0,עפולה,עבירות נגד אדם,,30,5,10,4,4,4,3
7700.0,עפולה,עבירות נגד גוף,,2872,529,481,498,432,423,509
7700.0,עפולה,עבירות סדר ציבורי,,5830,965,967,897,898,918,1185
7700.0,עפולה,עבירות רשוי,,41,3,12,7,8,4,7
7700.0,עפולה,עבירות תנועה,,60,6,10,12,11,14,7
7700.0,עפולה,שאר עבירות,,4,1,-,-,-,1,2
531.0,עראבה,Total,,4037,586,677,714,702,725,633
531.0,עראבה,-,,3,2,1,-,-,-,-
531.0,עראבה,סעיפי הגדרה,,1,-,1,-,-,-,-
531.0,עראבה,עבירות בטחון,,193,20,24,31,30,32,56
531.0,עראבה,עבירות כלכליות,,12,1,4,-,3,1,3
531.0,עראבה,עבירות כלפי המוסר,,375,56,67,81,60,65,46
531.0,עראבה,עבירות כלפי הרכוש,,1097,182,175,189,189,194,168
531.0,עראבה,עבירות מין,,28,5,2,6,6,3,6
531.0,עראבה,עבירות מנהליות,,7,1,-,1,1,4,-
531.0,עראבה,עבירות מרמה,,119,14,9,24,22,22,28
531.0,עראבה,עבירות נגד אדם,,10,-,1,2,4,3,-
531.0,עראבה,עבירות נגד גוף,,1069,155,183,180,163,217,171
531.0,עראבה,עבירות סדר ציבורי,,1985,298,346,338,372,340,291
531.0,עראבה,עבירות רשוי,,36,2,7,7,5,6,9
531.0,עראבה,עבירות תנועה,,24,2,3,3,6,2,8
2560.0,ערד,Total,,7178,1070,1102,1221,1195,1226,1364
2560.0,ערד,-,,22,3,3,5,8,2,1
2560.0,ערד,סעיפי הגדרה,,6,-,-,-,-,5,1
2560.0,ערד,עבירות בטחון,,59,6,8,13,9,7,16
2560.0,ערד,עבירות כלכליות,,12,1,8,-,1,-,2
2560.0,ערד,עבירות כלפי המוסר,,507,147,77,100,52,69,62
2560.0,ערד,עבירות כלפי הרכוש,,2771,385,509,482,470,441,484
2560.0,ערד,עבירות מין,,161,23,21,26,25,33,33
2560.0,ערד,עבירות מרמה,,275,48,55,32,44,47,49
2560.0,ערד,עבירות נגד אדם,,21,2,2,3,2,4,8
2560.0,ערד,עבירות נגד גוף,,1666,263,228,268,273,278,356
2560.0,ערד,עבירות סדר ציבורי,,3187,440,412,556,518,608,653
2560.0,ערד,עבירות רשוי,,39,9,3,6,4,6,11
2560.0,ערד,עבירות תנועה,,48,6,13,8,11,6,4
2560.0,ערד,שאר עבירות,,6,-,-,-,3,1,2
637.0,ערערה,Total,,3349,505,639,541,496,591,577
637.0,ערערה,-,,3,-,-,-,1,1,1
637.0,ערערה,סעיפי הגדרה,,4,1,-,-,-,3,-
637.0,ערערה,עבירות בטחון,,273,50,32,47,31,53,60
637.0,ערערה,עבירות כלכליות,,3,2,1,-,-,-,-
637.0,ערערה,עבירות כלפי המוסר,,293,31,42,42,31,71,76
637.0,ערערה,עבירות כלפי הרכוש,,1098,152,202,190,193,203,158
637.0,ערערה,עבירות מין,,40,6,5,9,6,6,8
637.0,ערערה,עבירות מנהליות,,1,-,-,1,-,-,-
637.0,ערערה,עבירות מרמה,,118,17,27,21,15,15,23
637.0,ערערה,עבירות נגד אדם,,14,3,2,2,1,4,2
637.0,ערערה,עבירות נגד גוף,,737,117,168,96,94,136,126
637.0,ערערה,עבירות סדר ציבורי,,1625,235,314,273,231,284,288
637.0,ערערה,עבירות רשוי,,16,1,-,3,3,3,6
637.0,ערערה,עבירות תנועה,,42,6,7,15,5,8,1
637.0,ערערה,שאר עבירות,,2,-,-,1,-,-,1
